variable,level,n
confinan,2,1487
confinan,NA,1372
confinan,3,684
confinan,1,443
degree,1,1817
degree,3,863
degree,4,577
degree,0,362
degree,2,360
degree,NA,7
income,12,2787
income,NA,423
income,9,190
income,11,171
income,10,117
income,1,83
income,2,57
income,8,39
income,3,33
income,5,29
income,4,21
income,7,19
income,6,17
polviews,4,1426
polviews,6,568
polviews,2,526
polviews,3,468
polviews,5,437
polviews,7,212
polviews,1,185
polviews,NA,164
region,3,1553
region,2,923
region,4,894
region,1,616
sex,2,2169
sex,1,1787
sex,NA,30
