id,confinan_ord,polviews,polviews_bin,degree,age,age_std,sex,income,income_std,region
1,1,4,Moderate,3,33,-0.9077794577197982,1,12,0.3942931976883675,1
2,2,3,Liberal,4,64,0.8472911471603127,1,12,0.3942931976883675,1
3,1,1,Liberal,2,69,1.1303670511732338,2,12,0.3942931976883675,1
5,2,4,Moderate,1,70,1.186982231975818,2,12,0.3942931976883675,1
7,2,2,Liberal,1,48,-0.05855174568103485,2,12,0.3942931976883675,1
8,3,4,Moderate,1,30,-1.077625000127551,2,8,-1.2209602238277626,1
9,2,4,Moderate,2,60,0.6208304239499758,2,12,0.3942931976883675,1
11,3,2,Liberal,3,23,-1.4739312657456405,2,12,0.3942931976883675,1
12,3,1,Liberal,0,68,1.0737518703706497,2,8,-1.2209602238277626,1
14,3,1,Liberal,1,37,-0.6813187345094613,2,12,0.3942931976883675,1
17,1,4,Moderate,3,64,0.8472911471603127,1,12,0.3942931976883675,1
19,2,5,Conservative,0,63,0.7906759663577285,2,12,0.3942931976883675,1
23,2,4,Moderate,1,69,1.1303670511732338,1,12,0.3942931976883675,1
24,3,6,Conservative,0,48,-0.05855174568103485,1,12,0.3942931976883675,1
25,1,4,Moderate,1,58,0.5076000623448074,1,12,0.3942931976883675,1
26,2,5,Conservative,3,71,1.2435974127784022,1,12,0.3942931976883675,1
27,2,4,Moderate,4,73,1.3568277743835706,2,12,0.3942931976883675,1
28,1,4,Moderate,2,74,1.413442955186155,2,12,0.3942931976883675,1
29,3,6,Conservative,2,56,0.3943697007396389,2,12,0.3942931976883675,1
35,2,3,Liberal,1,71,1.2435974127784022,2,12,0.3942931976883675,1
37,3,6,Conservative,3,60,0.6208304239499758,2,12,0.3942931976883675,1
38,2,5,Conservative,0,57,0.45098488154222316,2,12,0.3942931976883675,1
39,1,7,Conservative,3,37,-0.6813187345094613,2,12,0.3942931976883675,1
40,2,5,Conservative,1,26,-1.3040857233378877,1,12,0.3942931976883675,1
41,2,5,Conservative,1,59,0.5642152431473916,1,12,0.3942931976883675,1
42,3,4,Moderate,1,65,0.9039063279628969,1,12,0.3942931976883675,1
43,2,4,Moderate,4,71,1.2435974127784022,2,12,0.3942931976883675,1
44,3,3,Liberal,4,41,-0.4548580112991244,2,12,0.3942931976883675,1
45,1,6,Conservative,3,58,0.5076000623448074,1,12,0.3942931976883675,1
46,1,4,Moderate,3,79,1.696518859199076,1,12,0.3942931976883675,1
48,1,4,Moderate,3,57,0.45098488154222316,1,12,0.3942931976883675,1
50,1,6,Conservative,0,65,0.9039063279628969,1,12,0.3942931976883675,1
51,1,4,Moderate,4,74,1.413442955186155,2,12,0.3942931976883675,1
54,1,1,Liberal,0,61,0.67744560475256,1,3,-3.2400270007229253,1
60,3,2,Liberal,1,63,0.7906759663577285,2,9,-0.8171468684487302,1
61,2,2,Liberal,4,57,0.45098488154222316,2,12,0.3942931976883675,1
63,2,6,Conservative,1,89,2.2626706672249184,2,7,-1.6247735792067952,1
64,2,7,Conservative,1,79,1.696518859199076,1,12,0.3942931976883675,1
65,2,2,Liberal,3,22,-1.5305464465482246,2,12,0.3942931976883675,1
68,1,3,Liberal,4,70,1.186982231975818,1,12,0.3942931976883675,1
71,1,4,Moderate,4,41,-0.4548580112991244,2,12,0.3942931976883675,1
72,2,5,Conservative,3,37,-0.6813187345094613,1,12,0.3942931976883675,1
74,1,2,Liberal,3,32,-0.9643946385223824,1,12,0.3942931976883675,1
75,2,4,Moderate,1,54,0.2811393391344705,1,12,0.3942931976883675,1
78,3,2,Liberal,1,46,-0.1717821072862033,2,12,0.3942931976883675,1
81,2,4,Moderate,0,49,-0.00193656487845063,1,12,0.3942931976883675,1
82,2,6,Conservative,3,59,0.5642152431473916,2,12,0.3942931976883675,1
86,1,4,Moderate,2,62,0.7340607855551442,2,12,0.3942931976883675,1
89,2,5,Conservative,2,34,-0.851164276917214,2,12,0.3942931976883675,1
90,3,1,Liberal,4,36,-0.7379339153120456,1,11,-0.009520157690665056,1
91,1,3,Liberal,1,75,1.470058135988739,2,12,0.3942931976883675,1
92,1,6,Conservative,1,41,-0.4548580112991244,2,12,0.3942931976883675,1
95,2,2,Liberal,1,79,1.696518859199076,1,12,0.3942931976883675,1
99,2,5,Conservative,1,54,0.2811393391344705,1,12,0.3942931976883675,1
100,3,3,Liberal,1,61,0.67744560475256,2,12,0.3942931976883675,1
101,3,3,Liberal,1,72,1.3002125935809865,2,12,0.3942931976883675,1
108,1,4,Moderate,1,48,-0.05855174568103485,1,12,0.3942931976883675,1
110,2,1,Liberal,2,32,-0.9643946385223824,2,12,0.3942931976883675,1
111,1,6,Conservative,1,68,1.0737518703706497,2,9,-0.8171468684487302,1
114,3,4,Moderate,1,48,-0.05855174568103485,1,12,0.3942931976883675,1
123,3,4,Moderate,0,44,-0.2850124688913717,1,1,-4.04765371148099,1
125,2,4,Moderate,1,51,0.11129379672671781,1,9,-0.8171468684487302,1
126,2,2,Liberal,1,39,-0.5680883729042928,2,3,-3.2400270007229253,1
129,2,2,Liberal,3,60,0.6208304239499758,1,12,0.3942931976883675,1
130,2,5,Conservative,3,60,0.6208304239499758,2,12,0.3942931976883675,1
132,2,4,Moderate,4,65,0.9039063279628969,1,12,0.3942931976883675,1
133,3,3,Liberal,1,54,0.2811393391344705,1,1,-4.04765371148099,1
134,1,2,Liberal,0,45,-0.2283972880887875,2,9,-0.8171468684487302,1
135,1,3,Liberal,1,38,-0.624703553706877,2,11,-0.009520157690665056,1
136,1,6,Conservative,0,22,-1.5305464465482246,1,2,-3.643840356101958,1
137,1,4,Moderate,3,76,1.5266733167913233,2,12,0.3942931976883675,1
138,1,2,Liberal,4,42,-0.3982428304965402,1,12,0.3942931976883675,1
139,1,7,Conservative,3,89,2.2626706672249184,2,12,0.3942931976883675,1
140,2,3,Liberal,1,89,2.2626706672249184,2,12,0.3942931976883675,1
143,2,4,Moderate,4,41,-0.4548580112991244,1,12,0.3942931976883675,1
145,2,1,Liberal,4,60,0.6208304239499758,2,12,0.3942931976883675,1
147,1,5,Conservative,3,72,1.3002125935809865,1,12,0.3942931976883675,1
