parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta[1],-0.2741563925271463,6.632164481978082e-4,0.04298370599211037,-0.35861680902968074,-0.30283651151472857,-0.2745839543097223,-0.24508836155830746,-0.1892951920938214,4200.462743982684,1.0000616901122839
beta[2],0.018868789627992787,7.134127062135506e-4,0.044729591079959954,-0.06518575706294706,-0.011061320814531053,0.01951196460307128,0.04824295660362518,0.10962222006749775,3931.046450227313,1.0009978579866399
beta[3],0.17391273398800944,0.004537828770215455,0.1645995220896925,-0.15307641415561773,0.06603180987843038,0.1750472017159547,0.2878556087187343,0.48066002832216204,1315.7122896850067,1.0003022854055024
beta[4],0.3342074227634847,0.0048371882808819254,0.20332710809754362,-0.06471482240868999,0.19893797406495609,0.3356452085205979,0.471967821471565,0.7175278077279654,1766.869945592119,1.001421776153165
beta[5],0.01240109351510161,0.004572722155389111,0.17692004652003232,-0.3363975014252984,-0.10326914124816233,0.018004023508368182,0.13133486016846488,0.349324694386667,1496.940236543601,1.0007275464229108
beta[6],-0.20131358908732686,0.004720136356474308,0.18799078067346822,-0.5733365115348984,-0.32660488173376134,-0.19866168826115854,-0.07625441342574527,0.1664683409244106,1586.2221611715368,1.0007387440617501
beta[7],-0.22152482962265085,0.0012428250875896575,0.08630092634569304,-0.39097067573927485,-0.2815712030281092,-0.22002283480470708,-0.16361241136418778,-0.055282475115588744,4821.818869798139,0.9994289543528466
beta[8],0.22817462156593613,0.0026694238775250823,0.13364780223299572,-0.027857548806145938,0.13486234112919657,0.23114151982648612,0.31844961220530854,0.4841071454490443,2506.6203498753925,1.0011978012236953
beta[9],0.06148847881028911,0.0025448531054646307,0.12635636639310452,-0.18756086262620217,-0.02323047045917554,0.06420871100145711,0.14951259831807462,0.3009566136408326,2465.2945694699374,1.0011452145192192
beta[10],0.1404494383356567,0.002585019159454804,0.1342587531262327,-0.1233935371346014,0.05065887478033427,0.14339238775188579,0.23177891547363372,0.40594650273266736,2697.4766029495295,1.0007535623350634
c[1],-1.4899981715977322,0.019877439762532367,0.9045849027443902,-3.24895326974174,-2.1122449136183605,-1.4596356354023827,-0.8909210980850361,0.25984748067273394,2070.988934368505,1.003358217235053
c[2],1.2246340636926092,0.019781634289937438,0.903181047095306,-0.5413682455476391,0.6107977411625417,1.2571420771529211,1.8211233437491878,2.983875520339825,2084.6122893988695,1.0033749801525293
mu_alpha,0.08234801540956187,0.018602087099118744,0.8811006485143539,-1.6697105218557684,-0.5068585966737944,0.09723607401936091,0.6811894742119569,1.7887870959923706,2243.508373378279,1.003250241654006
sigma_alpha,0.2204388702408151,0.007098924517133957,0.2560014725082582,0.0072579697477611225,0.07129690850639825,0.14012854371155706,0.2661660497051266,0.9828989392227611,1300.4684187566666,1.0031518484031383
z_alpha[1],0.4178203920709075,0.014393700441305847,0.7903833992440022,-1.1299667099619242,-0.10023199502198449,0.40705025605086853,0.939528836858596,2.0030336077214588,3015.301196304617,1.002224523093643
z_alpha[2],-0.5142212792448951,0.014704400186515684,0.7749098731551245,-2.0391551141202435,-1.0386337618063661,-0.4917121564116973,0.005018163364242016,0.9626412323332297,2777.203866078869,1.0013811569003248
z_alpha[3],0.07373122332176774,0.014307852362727913,0.7499965047386797,-1.3620874939383916,-0.43736067281808283,0.07583555459186257,0.5680038441729471,1.6028544160844984,2747.701675004893,0.9998597203161794
alpha[1],0.145325559876235,0.018853010141735488,0.8896712001045615,-1.6330702674659958,-0.4425873789371841,0.16192907920303226,0.7379630304943413,1.8552310863217574,2226.8843432768194,1.0031058794983791
alpha[2],0.005213399522083831,0.01921844051199588,0.89249291921649,-1.795717086209313,-0.6071025651044979,0.02415463599914284,0.5996645363967749,1.6924859646144301,2156.618224688756,1.0029973622735546
alpha[3],0.09326076527957683,0.019084312982993366,0.8888221915929928,-1.6527041763274248,-0.5019368672370683,0.1106963165730652,0.694203225413806,1.8197925350373214,2169.0857328821667,1.0029833739438463
log_lik[1],-1.923808587144585,0.0026909435707870803,0.14118384482402455,-2.205517016700045,-2.0165833518049956,-1.921682625651361,-1.8268362450871338,-1.6550156739938657,2752.7123298168945,0.999726482597929
log_lik[2],-0.5342625198501457,3.074370572878545e-4,0.020164168397632076,-0.5755890677018857,-0.5474207553737993,-0.5335242753446827,-0.5202949432179534,-0.4976613925442557,4301.780062485673,0.9997850792864893
log_lik[3],-1.6598854023455714,0.002439726376043122,0.15297115763312866,-1.9646425335861073,-1.767415231084041,-1.654619204653541,-1.5531186677188544,-1.3751128189524802,3931.3061319260905,0.9998386403837554
log_lik[4],-0.5385620105421887,3.3705392333809676e-4,0.02126148778435449,-0.583224069235896,-0.5520303276077756,-0.5380119277329594,-0.5238741301400275,-0.4986381939515091,3979.133674569021,0.9994648234713278
log_lik[5],-0.5406499322963433,3.5959068767438967e-4,0.021963172748921907,-0.5873859692262958,-0.5545392315021024,-0.5395727800061623,-0.5251154704546761,-0.5010511793977206,3730.553584262631,1.0010691293348144
log_lik[6],-1.3115647702067055,0.002076372337496605,0.10955206052038224,-1.5373277719896334,-1.3841783034051307,-1.3094864487752587,-1.2349712011226728,-1.1024633935126888,2783.7525776654757,0.9998920759633022
log_lik[7],-0.5334015749372633,3.141538494239901e-4,0.020127093422321118,-0.5757588624219484,-0.5464230475473943,-0.5321141381325247,-0.519627442652836,-0.4969526525973195,4104.661554126449,0.9994213314204872
log_lik[8],-1.2276489621685756,0.002118977911349895,0.11688495974357199,-1.4644520120608784,-1.3062465270297179,-1.224845380046264,-1.1486974752428645,-1.0035050820487998,3042.736919354326,1.0014451367125945
log_lik[9],-1.801952894964687,0.0041586601782511055,0.16911247127708381,-2.1421527681633488,-1.914835394629339,-1.7983512435184295,-1.6873726698658058,-1.4825322089958353,1653.653081543522,1.0007012100335455
log_lik[10],-1.2667253154271603,0.0020389835084295652,0.10582206715571546,-1.4754843473871115,-1.336330953280198,-1.267272940386822,-1.1960117611059837,-1.0625864087683596,2693.550085420599,1.001593553808003
log_lik[11],-1.5296668747918836,0.0023943908963386393,0.1253684755917621,-1.7858881373289306,-1.6115098432080885,-1.526637378012619,-1.4443435425678803,-1.2884060226954088,2741.4894884078662,0.9996239910051732
log_lik[12],-0.5398932060527123,4.1851784478350344e-4,0.023860790256578363,-0.5919497570225165,-0.5539701292438115,-0.5379957561445183,-0.5239026717089968,-0.4985439029454685,3250.436498568812,0.9995521861694434
log_lik[13],-0.5304215894099553,2.8454762075362413e-4,0.018840480144546125,-0.5682170637252887,-0.5430481167900557,-0.530055967488067,-0.5176887124691325,-0.49482826676617764,4384.035030859998,0.9998459317107844
log_lik[14],-1.3969540953990425,0.00408274441482859,0.14951810287602468,-1.6914994133609034,-1.495793077180112,-1.3940353860193182,-1.2917096430352846,-1.110215984840311,1341.16795829509,1.0014478012328614
log_lik[15],-1.7336305232396356,0.002370580856549395,0.11938546087452871,-1.9721726044282224,-1.8145450281305888,-1.7315578606249065,-1.6527361966338425,-1.5065851793222755,2536.257443825424,0.9994751861642955
log_lik[16],-0.5321898582061109,2.889071592864142e-4,0.01948166622315801,-0.5725893966972025,-0.5448095363521458,-0.5316325322755844,-0.5190585255945646,-0.494673817109636,4547.1113422837,0.9998325749266771
log_lik[17],-0.5999783061894387,6.437442495023401e-4,0.03931856541685562,-0.6884832084730161,-0.623041418560474,-0.5957893716515352,-0.5722882174999361,-0.5350822191947704,3730.5133827676473,0.999334600224829
log_lik[18],-1.4878585400463888,0.0024367983697407103,0.1455813734753517,-1.7746890469341436,-1.5888534057218346,-1.4851831007437162,-1.387228221250925,-1.211483170136104,3569.212734901949,0.9994020427128671
log_lik[19],-1.4049219320272608,0.002215554591991099,0.13603134865327227,-1.687699065700219,-1.4957465362887885,-1.399499637296456,-1.3114812600910994,-1.1499646709287852,3769.7547428443936,1.0000156520302224
log_lik[20],-0.5322028098219675,2.889471617627845e-4,0.019409365607872448,-0.5719991699094795,-0.5448035778755635,-0.5319853143184663,-0.5193507024332036,-0.49503400772558026,4512.173761693435,0.999743898662826
log_lik[21],-1.7057532331446597,0.002196916338092022,0.12222805579687358,-1.949632978239911,-1.7891449535339676,-1.7044319705172537,-1.6230461632008322,-1.4687195442908931,3095.385688197374,1.0007606583237274
log_lik[22],-0.5350362937270262,3.462049878780207e-4,0.021250417633028644,-0.5791592593761943,-0.5485893256506797,-0.5337898281241793,-0.5204881466139593,-0.49643820173572634,3767.6304488217743,0.9996565745956524
log_lik[23],-1.759456784266223,0.0023240132529611882,0.13195570190171507,-2.0265419331611487,-1.8479249310557702,-1.7533926360106205,-1.6691149049238971,-1.5092037678632642,3223.881882357227,1.0007366292067816
log_lik[24],-0.6258911742542492,7.687440617043462e-4,0.04186476966243601,-0.7167092448764023,-0.6513572349639154,-0.6217061605980156,-0.5954445182503508,-0.5560452830058977,2965.7453910008912,1.001476117271275
log_lik[25],-0.5402925996398232,3.6234350969389765e-4,0.021812505144326623,-0.5863202853524512,-0.5540620380593775,-0.5392803050229377,-0.5250773151805821,-0.5004298336368689,3623.849226731989,1.0007636023262811
log_lik[26],-1.531808833384613,0.0023246115363021653,0.11655125457556509,-1.767398251849247,-1.60973021498417,-1.5305277258412575,-1.4513111946016006,-1.308278614152002,2513.8139266324933,0.999528683172202
log_lik[27],-0.5935028833155175,6.158945444959112e-4,0.03763354712893388,-0.678268851172926,-0.6155183293707334,-0.5895508333871274,-0.5670203794649817,-0.5307792263444671,3733.684307689879,0.9993449942386815
log_lik[28],-1.5983324131240484,0.002008149683913482,0.1224154521620126,-1.8415868274226928,-1.681097564931338,-1.5962387304398673,-1.5127453854215978,-1.368628037975072,3716.0394824437935,1.0001448671022675
log_lik[29],-1.673818532754232,0.002261122235674682,0.12464056773628213,-1.9314047168565394,-1.7552640354061466,-1.6700262806262038,-1.5879218200052414,-1.4388513288745193,3038.5805628746857,1.000668682440513
log_lik[30],-1.352789229923616,0.0023430388302278756,0.125898827507192,-1.6075813466091822,-1.4351415867901554,-1.3492957457377617,-1.2661572609741376,-1.110909561279208,2887.250059847716,0.9996260519748666
log_lik[31],-1.6155310010644992,0.0024382557389721784,0.12671346212453802,-1.8734443360888622,-1.6985559825112237,-1.6113841049034017,-1.5288099128489216,-1.373578735886794,2700.766288059578,0.9996344307351671
log_lik[32],-1.5781809616718758,0.004174831783713541,0.15904945686687993,-1.9003075273225791,-1.6820412503811386,-1.5747001508091676,-1.4678216253055356,-1.2786168147290196,1451.3976596036619,1.0008692621640358
log_lik[33],-1.101126377092954,0.0018982142397272561,0.11042773517999491,-1.3264709379742574,-1.1734032121270852,-1.1014927090715787,-1.0269856841306968,-0.8881960162814521,3384.2767954378605,0.9992651193622322
