parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,khat
beta[1],-0.02812084209125,NA,0.0106113371139031,-0.049174169999999996,-0.035099925000000004,-0.02816625,-0.020916274999999998,-0.007499060749999991,NA,1.0158344869567124
beta[2],-0.298195475,NA,0.04525861495736298,-0.38704477500000006,-0.328893,-0.298663,-0.26774475000000003,-0.2110698,NA,1.003230103237719
beta[3],0.028189201075575,NA,0.043366814850832616,-0.0584354925,-9.62938e-4,0.02850455,0.05709335,0.11256997500000002,NA,1.015013318257249
beta[4],0.16854282068975,NA,0.06806272005599746,0.039067325,0.12305925,0.16863,0.21252325,0.301205325,NA,1.0241675892539988
beta[5],0.264414299473,NA,0.13146992336376465,0.012835805000000002,0.174391,0.262628,0.352472,0.530593875,NA,1.0063538814187487
beta[6],0.033484227830825,NA,0.09416929484207988,-0.152504375,-0.030999325,0.0327935,0.09686382499999999,0.22114022500000005,NA,1.0083058583063025
beta[7],-0.2119360643889,NA,0.1260390052801525,-0.454178125,-0.29688875000000003,-0.2129345,-0.128909,0.039035425000000006,NA,1.0262913168949181
beta[8],-0.246211356385,NA,0.06633706955240681,-0.37425777499999996,-0.29191900000000004,-0.2474675,-0.19969575,-0.11876767499999998,NA,1.020709800048687
beta[9],0.22184410509725,NA,0.0929726184532882,0.038248287500000006,0.1585745,0.2203635,0.28556275,0.401409625,NA,1.032177056503056
beta[10],0.0724639211904,NA,0.07410267483838101,-0.07275898999999998,0.022035125,0.07285069999999999,0.12224900000000001,0.21518322500000003,NA,1.012938567455373
beta[11],0.12016490632175,NA,0.09676759777748313,-0.07561557249999999,0.05450239999999999,0.121114,0.18619899999999998,0.31206097499999996,NA,1.0148979425875562
c[1],-1.692393575,NA,0.04395189260754672,-1.7785465,-1.7219775,-1.69275,-1.66281,-1.6045744999999998,NA,1.0308849860289422
c[2],1.0121155085,NA,0.06356996113919083,0.8876807,0.9687257499999999,1.01156,1.05525,1.1382225000000001,NA,1.0282898106065288
log_lik[1],-2.036041205,NA,0.10461778385137248,-2.23909175,-2.108025,-2.0356750000000003,-1.9649999999999999,-1.838903,NA,1.031820362950887
log_lik[2],-0.53928222775,NA,0.015360838396941258,-0.57198715,-0.5488439999999999,-0.5385629999999999,-0.5289365,-0.51118785,NA,1.0166788787609349
log_lik[3],-1.58790916,NA,0.13117109486268802,-1.8505122500000002,-1.6746725,-1.5850849999999999,-1.4988475,-1.333494,NA,1.027136104669295
log_lik[4],-0.5382842515,NA,0.014352680334381567,-0.5680895,-0.5473472500000001,-0.5379235,-0.5286217500000001,-0.511474475,NA,1.0164323158808064
log_lik[5],-0.54056436675,NA,0.017257409250978507,-0.577500275,-0.55106725,-0.5395625,-0.5289635,-0.50952085,NA,1.0099278183630327
log_lik[6],-1.25413735475,NA,0.10111832359251441,-1.45473275,-1.3217700000000001,-1.2520950000000002,-1.1859,-1.06003675,NA,1.0180896278751492
log_lik[7],-0.53485849375,NA,0.015427172371397345,-0.5685270499999999,-0.54352,-0.533819,-0.524656,-0.50782645,NA,1.0075888549986274
log_lik[8],-1.19456074175,NA,0.10391404910890589,-1.40591225,-1.2626275,-1.192305,-1.12499,-0.999378475,NA,1.0521150528836274
log_lik[9],-1.8191053275,NA,0.09792133267879448,-2.00783175,-1.8851399999999998,-1.8150149999999998,-1.7514975000000002,-1.6310487500000002,NA,1.0072168963913406
log_lik[10],-1.245239165,NA,0.08623178464630123,-1.4146217499999998,-1.30373,-1.244095,-1.18545,-1.07962,NA,1.0249843393169689
log_lik[11],-1.5990500975,NA,0.09516655008919625,-1.78395375,-1.6648625,-1.59735,-1.5329350000000002,-1.4144865,NA,1.0390891196738783
log_lik[12],-0.5433724505,NA,0.014465654615118902,-0.5726122499999999,-0.55293375,-0.5430345,-0.5334920000000001,-0.5159330999999999,NA,1.014758832114168
log_lik[13],-0.532217745,NA,0.013873577319003978,-0.5601289749999999,-0.541155,-0.531612,-0.52287975,-0.50635115,NA,1.0091504622445415
log_lik[14],-1.4275475625,NA,0.0686632349867329,-1.5635807499999999,-1.4753625,-1.427635,-1.3805625,-1.2936705,NA,0.9968978548196045
log_lik[15],-1.7913596225,NA,0.07927553786546299,-1.95379025,-1.8444250000000002,-1.79046,-1.7362899999999999,-1.6392915,NA,1.0243477558744534
log_lik[16],-0.534969863,NA,0.013560379189689819,-0.562297075,-0.54378025,-0.5346265,-0.52565,-0.509158725,NA,1.0146052567113668
log_lik[17],-0.597728707,NA,0.036001577880082104,-0.678732525,-0.6182265,-0.5938490000000001,-0.5721545,-0.5387845,NA,1.0313856061059647
log_lik[18],-1.45661249225,NA,0.13396063031431088,-1.72540725,-1.5452649999999999,-1.45286,-1.36502,-1.2055555,NA,0.998911168165341
log_lik[19],-1.5194793275,NA,0.1371166953802884,-1.79688575,-1.6088675,-1.5169000000000001,-1.4286725,-1.25093,NA,1.033557219919388
log_lik[20],-0.5375120285,NA,0.014086923149028669,-0.567026,-0.5464559999999999,-0.5372405,-0.527954,-0.51138655,NA,1.0167764004735653
log_lik[21],-1.7586261625,NA,0.12465631448500246,-2.0086125,-1.8429975,-1.756175,-1.6714799999999999,-1.5249409999999999,NA,1.0201411274667356
log_lik[22],-0.53592754625,NA,0.012988484396517955,-0.561370475,-0.54486675,-0.535815,-0.5270724999999999,-0.510743875,NA,1.0160470120748446
log_lik[23],-1.7006904624999999,NA,0.12120940726553972,-1.9357389999999999,-1.7824950000000002,-1.697015,-1.618315,-1.4668804999999998,NA,1.022915746904517
log_lik[24],-0.62820122275,NA,0.035515084319542124,-0.7033232,-0.65062075,-0.6256474999999999,-0.602781,-0.565805225,NA,1.0135604661931679
log_lik[25],-0.5385522725,NA,0.016415492259959127,-0.57275035,-0.548824,-0.537482,-0.52739625,-0.508695275,NA,1.0123448482882336
log_lik[26],-1.475527865,NA,0.0857901293352831,-1.641324,-1.534555,-1.47586,-1.41703,-1.3064019999999998,NA,0.9871486898243638
log_lik[27],-0.590935671,NA,0.033917749364967574,-0.6670810999999999,-0.610179,-0.587244,-0.5668005,-0.535728775,NA,1.0325164556808326
log_lik[28],-1.628798,NA,0.1295745538709383,-1.88607,-1.7125324999999998,-1.62908,-1.54112,-1.378038,NA,1.0495901811507466
log_lik[29],-1.63522236,NA,0.10037400327482086,-1.827803,-1.7038975,-1.632345,-1.5648475,-1.4460024999999999,NA,1.0521119102559024
log_lik[30],-1.4030647625,NA,0.10288795484971455,-1.6090225,-1.473355,-1.3994849999999999,-1.3328925,-1.206083,NA,1.0436800176200438
log_lik[31],-1.6942586975,NA,0.09372254754544446,-1.87704125,-1.75898,-1.692605,-1.6294100000000002,-1.5171439999999998,NA,1.0407358696162738
